Time,C1,C2,BR*C1,(1-B)R*C2,Ct
.0000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.0500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.1000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.1500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.2000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.2500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.3000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.3500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.4000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.4500,.36097E-08,.00000E+00,.36097E-08,.00000E+00,.36097E-08
.5000,.36484E-06,.00000E+00,.36484E-06,.00000E+00,.36484E-06
.5500,.10957E-04,.15251E-07,.10957E-04,.15251E-07,.10972E-04
.6000,.15486E-03,.29499E-06,.15486E-03,.29499E-06,.15516E-03
.6500,.12312E-02,.29273E-05,.12312E-02,.29273E-05,.12341E-02
.7000,.62515E-02,.18387E-04,.62515E-02,.18387E-04,.62699E-02
.7500,.22272E-01,.80664E-04,.22272E-01,.80664E-04,.22352E-01
.8000,.59788E-01,.26582E-03,.59788E-01,.26582E-03,.60053E-01
.8500,.12785E+00,.69603E-03,.12785E+00,.69603E-03,.12855E+00
.9000,.22769E+00,.15139E-02,.22769E+00,.15139E-02,.22920E+00
.9500,.35011E+00,.28347E-02,.35011E+00,.28347E-02,.35295E+00
1.0000,.47909E+00,.47036E-02,.47909E+00,.47036E-02,.48380E+00
1.0500,.59843E+00,.70820E-02,.59843E+00,.70820E-02,.60551E+00
1.1000,.69717E+00,.98662E-02,.69717E+00,.98662E-02,.70704E+00
1.1500,.77135E+00,.12922E-01,.77135E+00,.12922E-01,.78427E+00
1.2000,.82257E+00,.16117E-01,.82257E+00,.16117E-01,.83869E+00
1.2500,.85547E+00,.19343E-01,.85547E+00,.19343E-01,.87481E+00
1.3000,.87530E+00,.22523E-01,.87530E+00,.22523E-01,.89783E+00
1.3500,.88665E+00,.25606E-01,.88665E+00,.25606E-01,.91225E+00
1.4000,.89287E+00,.28566E-01,.89287E+00,.28566E-01,.92143E+00
1.4500,.89619E+00,.31391E-01,.89619E+00,.31391E-01,.92758E+00
1.5000,.89795E+00,.34075E-01,.89795E+00,.34075E-01,.93203E+00
1.5500,.89892E+00,.36623E-01,.89892E+00,.36623E-01,.93554E+00
1.6000,.89949E+00,.39038E-01,.89949E+00,.39038E-01,.93852E+00
1.6500,.89986E+00,.41326E-01,.89986E+00,.41326E-01,.94119E+00
1.7000,.90014E+00,.43493E-01,.90014E+00,.43493E-01,.94364E+00
1.7500,.90038E+00,.45545E-01,.90038E+00,.45545E-01,.94592E+00
1.8000,.90059E+00,.47488E-01,.90059E+00,.47488E-01,.94808E+00
1.8500,.90078E+00,.49329E-01,.90078E+00,.49329E-01,.95011E+00
1.9000,.90096E+00,.51072E-01,.90096E+00,.51072E-01,.95203E+00
1.9500,.90113E+00,.52722E-01,.90113E+00,.52722E-01,.95385E+00
2.0000,.90128E+00,.54285E-01,.90128E+00,.54285E-01,.95557E+00
2.0500,.90144E+00,.55765E-01,.90144E+00,.55765E-01,.95720E+00
2.1000,.90158E+00,.57167E-01,.90158E+00,.57167E-01,.95874E+00
2.1500,.90171E+00,.58494E-01,.90171E+00,.58494E-01,.96021E+00
2.2000,.90184E+00,.59751E-01,.90184E+00,.59751E-01,.96159E+00
2.2500,.90196E+00,.60941E-01,.90196E+00,.60941E-01,.96290E+00
2.3000,.90207E+00,.62068E-01,.90207E+00,.62068E-01,.96414E+00
2.3500,.90218E+00,.63135E-01,.90218E+00,.63135E-01,.96532E+00
2.4000,.90229E+00,.64146E-01,.90229E+00,.64146E-01,.96643E+00
2.4500,.90238E+00,.65103E-01,.90238E+00,.65103E-01,.96749E+00
2.5000,.90247E+00,.66009E-01,.90247E+00,.66009E-01,.96848E+00
2.5500,.90255E+00,.66868E-01,.90255E+00,.66868E-01,.96942E+00
2.6000,.90249E+00,.67680E-01,.90249E+00,.67680E-01,.97017E+00
2.6500,.90149E+00,.68447E-01,.90149E+00,.68447E-01,.96994E+00
2.7000,.89654E+00,.69161E-01,.89654E+00,.69161E-01,.96570E+00
2.7500,.88059E+00,.69788E-01,.88059E+00,.69788E-01,.95038E+00
2.8000,.84314E+00,.70257E-01,.84314E+00,.70257E-01,.91340E+00
2.8500,.77514E+00,.70445E-01,.77514E+00,.70445E-01,.84558E+00
2.9000,.67537E+00,.70214E-01,.67537E+00,.70214E-01,.74558E+00
2.9500,.55300E+00,.69448E-01,.55300E+00,.69448E-01,.62244E+00
3.0000,.42407E+00,.68105E-01,.42407E+00,.68105E-01,.49217E+00
3.0500,.30478E+00,.66224E-01,.30478E+00,.66224E-01,.37101E+00
3.1000,.20609E+00,.63911E-01,.20609E+00,.63911E-01,.27000E+00
3.1500,.13196E+00,.61302E-01,.13196E+00,.61302E-01,.19326E+00
3.2000,.80773E-01,.58529E-01,.80773E-01,.58529E-01,.13930E+00
3.2500,.47920E-01,.55703E-01,.47920E-01,.55703E-01,.10362E+00
3.3000,.28124E-01,.52902E-01,.28124E-01,.52902E-01,.81026E-01
3.3500,.16817E-01,.50178E-01,.16817E-01,.50178E-01,.66995E-01
3.4000,.10631E-01,.47557E-01,.10631E-01,.47557E-01,.58188E-01
3.4500,.73425E-02,.45055E-01,.73425E-02,.45055E-01,.52398E-01
3.5000,.56087E-02,.42675E-01,.56087E-02,.42675E-01,.48284E-01
3.5500,.46724E-02,.40416E-01,.46724E-02,.40416E-01,.45089E-01
3.6000,.41309E-02,.38275E-01,.41309E-02,.38275E-01,.42406E-01
3.6500,.37807E-02,.36246E-01,.37807E-02,.36246E-01,.40026E-01
3.7000,.35230E-02,.34324E-01,.35230E-02,.34324E-01,.37847E-01
3.7500,.33116E-02,.32503E-01,.33116E-02,.32503E-01,.35815E-01
3.8000,.31254E-02,.30780E-01,.31254E-02,.30780E-01,.33905E-01
3.8500,.29550E-02,.29147E-01,.29550E-02,.29147E-01,.32102E-01
3.9000,.27960E-02,.27601E-01,.27960E-02,.27601E-01,.30397E-01
3.9500,.26465E-02,.26138E-01,.26465E-02,.26138E-01,.28784E-01
4.0000,.25053E-02,.24751E-01,.25053E-02,.24751E-01,.27257E-01
