Time,Concentration
.0000,.0000
.0500,.0000
.1000,.0000
.1500,.0000
.2000,.0000
.2500,.0000
.3000,.0000
.3500,.0000
.4000,.0000
.4500,.0000
.5000,.0000
.5500,.0000
.6000,.0001
.6500,.0007
.7000,.0034
.7500,.0118
.8000,.0306
.8500,.0632
.9000,.1090
.9500,.1627
1.0000,.2169
1.0500,.2648
1.1000,.3029
1.1500,.3302
1.2000,.3483
1.2500,.3594
1.3000,.3659
1.3500,.3695
1.4000,.3714
1.4500,.3724
1.5000,.3730
1.5500,.3734
1.6000,.3736
1.6500,.3738
1.7000,.3740
1.7500,.3742
1.8000,.3744
1.8500,.3746
1.9000,.3748
1.9500,.3750
2.0000,.3751
2.0500,.3753
2.1000,.3755
2.1500,.3757
2.2000,.3759
2.2500,.3760
2.3000,.3762
2.3500,.3764
2.4000,.3766
2.4500,.3768
2.5000,.3769
2.5500,.3771
2.6000,.3772
2.6500,.3768
2.7000,.3742
2.7500,.3660
2.8000,.3474
2.8500,.3150
2.9000,.2694
2.9500,.2159
3.0000,.1619
3.0500,.1141
3.1000,.0763
3.1500,.0491
3.2000,.0312
3.2500,.0202
3.3000,.0140
3.3500,.0106
3.4000,.0088
3.4500,.0080
3.5000,.0075
3.5500,.0074
3.6000,.0073
3.6500,.0072
3.7000,.0072
3.7500,.0072
3.8000,.0072
3.8500,.0072
3.9000,.0072
3.9500,.0072
4.0000,.0072
4.0500,.0072
4.1000,.0072
4.1500,.0072
4.2000,.0072
4.2500,.0072
4.3000,.0072
4.3500,.0072
4.4000,.0072
4.4500,.0072
4.5000,.0072
4.5500,.0072
4.6000,.0072
4.6500,.0072
4.7000,.0072
4.7500,.0072
4.8000,.0072
4.8500,.0072
4.9000,.0072
4.9500,.0072
5.0000,.0072
5.0500,.0072
5.1000,.0072
5.1500,.0072
5.2000,.0072
5.2500,.0072
5.3000,.0072
5.3500,.0072
5.4000,.0072
5.4500,.0072
5.5000,.0072
5.5500,.0072
5.6000,.0072
5.6500,.0072
5.7000,.0072
5.7500,.0071
5.8000,.0071
5.8500,.0071
5.9000,.0071
5.9500,.0071
