Time,Concentration
.0000,.0000
.0500,.0000
.1000,.0000
.1500,.0000
.2000,.0000
.2500,.0000
.3000,.0000
.3500,.0000
.4000,.0000
.4500,.0000
.5000,.0000
.5500,.0000
.6000,.0002
.6500,.0012
.7000,.0063
.7500,.0224
.8000,.0602
.8500,.1288
.9000,.2295
.9500,.3531
1.0000,.4834
1.0500,.6040
1.1000,.7038
1.1500,.7789
1.2000,.8308
1.2500,.8642
1.3000,.8844
1.3500,.8960
1.4000,.9024
1.4500,.9059
1.5000,.9079
1.5500,.9090
1.6000,.9098
1.6500,.9104
1.7000,.9108
1.7500,.9113
1.8000,.9117
1.8500,.9121
1.9000,.9126
1.9500,.9130
2.0000,.9134
2.0500,.9138
2.1000,.9142
2.1500,.9146
2.2000,.9150
2.2500,.9154
2.3000,.9158
2.3500,.9162
2.4000,.9166
2.4500,.9170
2.5000,.9174
2.5500,.9178
2.6000,.9180
2.6500,.9173
2.7000,.9127
2.7500,.8969
2.8000,.8595
2.8500,.7913
2.9000,.6909
2.9500,.5677
3.0000,.4379
3.0500,.3176
3.1000,.2182
3.1500,.1435
3.2000,.0919
3.2500,.0589
3.3000,.0391
3.3500,.0278
3.4000,.0218
3.4500,.0186
3.5000,.0170
3.5500,.0162
3.6000,.0158
3.6500,.0156
3.7000,.0155
3.7500,.0154
3.8000,.0153
3.8500,.0152
3.9000,.0151
3.9500,.0151
4.0000,.0150
4.0500,.0149
4.1000,.0148
4.1500,.0148
4.2000,.0147
4.2500,.0146
4.3000,.0146
4.3500,.0145
4.4000,.0144
4.4500,.0144
4.5000,.0143
4.5500,.0142
4.6000,.0142
4.6500,.0141
4.7000,.0140
4.7500,.0140
4.8000,.0139
4.8500,.0138
4.9000,.0138
4.9500,.0137
5.0000,.0136
5.0500,.0136
5.1000,.0135
5.1500,.0134
5.2000,.0134
5.2500,.0133
5.3000,.0132
5.3500,.0132
5.4000,.0131
5.4500,.0131
5.5000,.0130
5.5500,.0129
5.6000,.0129
5.6500,.0128
5.7000,.0128
5.7500,.0127
5.8000,.0126
5.8500,.0126
5.9000,.0125
5.9500,.0125
