Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Vaq Total Mas [mol],Region Region__all Vim Total Mas [mol]
1.00000000E-01,3.70000000E-02,1.30000000E-02,1.04980867E+06,8.01138564E-05,2.24068754E-05,-0.00000000E+00,-0.00000000E+00,7.18790495E-43,1.22866446E-41,2.15202079E+04,2.15218010E+05,2.23423258E-06,2.26623692E-05,-2.15123629E+04,-2.15081963E+05,-1.85023579E-06,-1.63439173E-05,-0.00000000E+00,-0.00000000E+00,2.08085854E-09,3.55625809E-08,-0.00000000E+00,-0.00000000E+00,2.08085851E-09,3.55625799E-08,-8.71761038E+00,-1.51172434E+02,-7.14171198E-10,-1.14856820E-08,8.71761281E-01,1.51172476E+01,8.71920000E-11,1.51200000E-09,1.04980867E+06,8.01138564E-05,2.24068754E-05
2.00000000E-01,3.60000000E-02,4.44226118E-03,1.04980867E+06,6.17058669E-05,3.86117647E-05,-0.00000000E+00,-0.00000000E+00,2.49366437E-42,2.13749320E-41,4.30455949E+04,2.15278315E+05,4.51319507E-06,2.28464177E-05,-4.30111789E+04,-2.14924151E+05,-3.24973941E-06,-1.24252640E-05,-0.00000000E+00,-0.00000000E+00,7.21620804E-09,6.18320930E-08,-0.00000000E+00,-0.00000000E+00,7.21620761E-09,6.18320858E-08,-3.82418267E+01,-3.93528241E+02,-2.60472624E-09,-2.27363863E-08,3.82418374E+00,3.93528351E+01,3.82488000E-10,3.93600000E-09,1.04980867E+06,6.17058669E-05,3.86117647E-05
3.00000000E-01,1.00000000E-01,6.63710638E-03,1.04980867E+06,4.79927558E-05,5.05292304E-05,-0.00000000E+00,-0.00000000E+00,5.03656976E-42,2.81452909E-41,6.45755797E+04,2.15299849E+05,6.80106295E-06,2.28931385E-05,-6.44979725E+04,-2.14867935E+05,-4.31452605E-06,-9.45066928E-06,-0.00000000E+00,-0.00000000E+00,1.45699091E-08,8.13758286E-08,-0.00000000E+00,-0.00000000E+00,1.45699074E-08,8.13758119E-08,-8.62330756E+01,-4.79912489E+02,-4.98049197E-09,-2.10795684E-08,8.62330997E+00,4.79912623E+01,8.62488000E-10,4.80000000E-09,1.04980867E+06,4.79927558E-05,5.05292304E-05
4.00000000E-01,1.00000000E-01,8.45172629E-03,1.04980867E+06,3.77827095E-05,5.92538445E-05,-0.00000000E+00,-0.00000000E+00,8.15226333E-42,3.31861366E-41,8.61115355E+04,2.15359558E+05,9.09188417E-06,2.29126309E-05,-8.59691404E+04,-2.14711680E+05,-5.12439122E-06,-7.18569988E-06,-0.00000000E+00,-0.00000000E+00,2.35757831E-08,9.59070255E-08,-0.00000000E+00,-0.00000000E+00,2.35757785E-08,9.59069910E-08,-1.58219949E+02,-7.19868732E+02,-7.69049422E-09,-2.40336247E-08,1.58219993E+01,7.19868934E+01,1.58248800E-09,7.20000000E-09,1.04980867E+06,3.77827095E-05,5.92538445E-05
5.00000000E-01,1.00000000E-01,1.04069695E-02,1.04980867E+06,3.01852143E-05,6.56047527E-05,-0.00000000E+00,-0.00000000E+00,1.16945910E-41,3.69371285E-41,1.07653462E+05,2.15419265E+05,1.13840534E-05,2.29231165E-05,-1.07424683E+05,-2.14555428E+05,-5.74041076E-06,-5.46463409E-06,-0.00000000E+00,-0.00000000E+00,3.38105623E-08,1.06704959E-07,-0.00000000E+00,-0.00000000E+00,3.38105527E-08,1.06704902E-07,-2.54202446E+02,-9.59824975E+02,-1.04375612E-08,-2.43534081E-08,2.54202518E+01,9.59825245E+01,2.54248800E-09,9.60000000E-09,1.04980867E+06,3.01852143E-05,6.56047527E-05
6.00000000E-01,1.00000000E-01,1.22804354E-02,1.04980867E+06,2.45355858E-05,7.01929460E-05,-0.00000000E+00,-0.00000000E+00,1.55544999E-41,3.97264308E-41,1.29201359E+05,2.15478968E+05,1.36770813E-05,2.29307288E-05,-1.28864601E+05,-2.14399174E+05,-6.20904168E-06,-4.15704133E-06,-0.00000000E+00,-0.00000000E+00,4.49588353E-08,1.14723072E-07,-0.00000000E+00,-0.00000000E+00,4.49588179E-08,1.14722988E-07,-3.74180568E+02,-1.19978122E+03,-1.30475238E-08,-2.31329728E-08,3.74180673E+01,1.19978156E+02,3.74248800E-09,1.20000000E-08,1.04980867E+06,2.45355858E-05,7.01929460E-05
7.00000000E-01,1.00000000E-01,1.40771508E-02,1.04980866E+06,2.03372742E-05,7.34741829E-05,-0.00000000E+00,-0.00000000E+00,1.96506079E-41,4.17991972E-41,1.50755226E+05,2.15538674E+05,1.59708067E-05,2.29373717E-05,-1.50288892E+05,-2.14242916E+05,-6.56563954E-06,-3.16367763E-06,-0.00000000E+00,-0.00000000E+00,5.67855305E-08,1.20672709E-07,-0.00000000E+00,-0.00000000E+00,5.67855027E-08,1.20672597E-07,-5.18154314E+02,-1.43973746E+03,-1.54276070E-08,-2.10936792E-08,5.18154460E+01,1.43973787E+02,5.18248800E-09,1.44000000E-08,1.04980866E+06,2.03372742E-05,7.34741829E-05
8.00000000E-01,1.00000000E-01,1.81626810E-03,1.04980866E+06,1.72175558E-05,7.57898703E-05,-0.00000000E+00,-0.00000000E+00,2.39219124E-41,4.33394467E-41,1.72315064E+05,2.15598377E+05,1.82651742E-05,2.29436749E-05,-1.71697558E+05,-2.14086658E+05,-6.83725996E-06,-2.40861352E-06,-0.00000000E+00,-0.00000000E+00,6.91146816E-08,1.25087116E-07,-0.00000000E+00,-0.00000000E+00,6.91146405E-08,1.25086975E-07,-6.86123684E+02,-1.67969370E+03,-1.75387651E-08,-1.86959602E-08,6.86123877E+01,1.67969418E+02,6.86248800E-09,1.68000000E-08,1.04980866E+06,1.72175558E-05,7.57898703E-05
9.00000000E-01,1.00000000E-01,3.74723457E-03,1.04980866E+06,1.49014113E-05,7.73914182E-05,-0.00000000E+00,-0.00000000E+00,2.83234671E-41,4.44829603E-41,1.93880872E+05,2.15658078E+05,2.05601641E-05,2.29498558E-05,-1.93090598E+05,-2.13930401E+05,-7.04423603E-06,-1.83479372E-06,-0.00000000E+00,-0.00000000E+00,8.18168034E-08,1.28359257E-07,-0.00000000E+00,-0.00000000E+00,8.18167462E-08,1.28359089E-07,-8.78088678E+02,-1.91964994E+03,-1.93726666E-08,-1.62296004E-08,8.78088926E+01,1.91965049E+02,8.78248800E-09,1.92000000E-08,1.04980866E+06,1.49014113E-05,7.73914182E-05
1.00000000E+00,1.00000000E-01,5.60371117E-03,1.04980866E+06,1.31835523E-05,7.84660451E-05,-0.00000000E+00,-0.00000000E+00,3.28217752E-41,4.53310919E-41,2.15452650E+05,2.15717780E+05,2.28557692E-05,2.29559923E-05,-2.14468012E+05,-2.13774140E+05,-7.20204032E-06,-1.39880935E-06,-0.00000000E+00,-0.00000000E+00,9.47955241E-08,1.30782084E-07,-0.00000000E+00,-0.00000000E+00,9.47954479E-08,1.30781890E-07,-1.09404930E+03,-2.15960618E+03,-2.09403598E-08,-1.38664319E-08,1.09404961E+02,2.15960680E+02,1.09424880E-08,2.16000000E-08,1.04980866E+06,1.31835523E-05,7.84660451E-05
