Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Vaq Total Mas [mol],Region Region__all Vim Total Mas [mol]
1.00000000E-01,3.70000000E-02,4.43561045E-03,1.04980953E+06,7.21498035E-05,3.17201735E-05,-0.00000000E+00,-0.00000000E+00,9.08404190E-43,1.62186113E-41,8.56746626E+04,8.56763821E+05,8.75413827E-06,8.78541419E-05,-8.56668298E+04,-8.56627893E+05,-7.01864138E-06,-5.76510825E-05,-0.00000000E+00,-0.00000000E+00,1.04570919E-08,1.86553509E-07,-0.00000000E+00,-0.00000000E+00,1.04570918E-08,1.86553505E-07,-8.71761508E+00,-1.51172515E+02,-6.66392564E-10,-1.01708895E-08,8.71762476E-01,1.51172683E+01,8.71920000E-11,1.51200000E-09,1.04980953E+06,7.21498035E-05,3.17201735E-05
2.00000000E-01,3.60000000E-02,3.61855708E-03,1.04980951E+06,5.19555256E-05,5.28450447E-05,-0.00000000E+00,-0.00000000E+00,3.08922193E-42,2.61888148E-41,1.71354880E+05,8.56827350E+05,1.75415881E-05,8.78820379E-05,-1.71320488E+05,-8.56473289E+05,-1.17418172E-05,-3.88127633E-05,-0.00000000E+00,-0.00000000E+00,3.55124545E-08,3.00621652E-07,-0.00000000E+00,-0.00000000E+00,3.55124528E-08,3.00621625E-07,-3.82418470E+01,-3.93528448E+02,-2.25543815E-09,-1.78101628E-08,3.82418896E+00,3.93528887E+01,3.82488000E-10,3.93600000E-09,1.04980951E+06,5.19555256E-05,5.28450447E-05
3.00000000E-01,1.00000000E-01,3.09455119E-03,1.04980950E+06,3.96319357E-05,6.76057951E-05,-0.00000000E+00,-0.00000000E+00,6.04966284E-42,3.22731472E-41,2.57040055E+05,8.56851754E+05,2.63300915E-05,8.78852028E-05,-2.56962482E+05,-8.56419941E+05,-1.49232200E-05,-2.61594093E-05,-0.00000000E+00,-0.00000000E+00,6.94646102E-08,3.69861188E-07,-0.00000000E+00,-0.00000000E+00,6.94646045E-08,3.69861140E-07,-8.62331205E+01,-4.79912735E+02,-4.03429035E-09,-1.46103181E-08,8.62332170E+00,4.79913274E+01,8.62488000E-10,4.80000000E-09,1.04980950E+06,3.96319357E-05,6.76057951E-05
4.00000000E-01,1.00000000E-01,3.63637478E-03,1.04980949E+06,3.21883332E-05,7.84433734E-05,-0.00000000E+00,-0.00000000E+00,9.48361600E-42,3.59481601E-41,3.42731463E+05,8.56914076E+05,3.51192439E-05,8.78915153E-05,-3.42589111E+05,-8.56266289E+05,-1.70686682E-05,-1.76550418E-05,-0.00000000E+00,-0.00000000E+00,1.08791325E-07,4.11457331E-07,-0.00000000E+00,-0.00000000E+00,1.08791312E-07,4.11457264E-07,-1.58220030E+02,-7.19869095E+02,-5.82917049E-09,-1.47416094E-08,1.58220208E+01,7.19869906E+01,1.58248800E-09,7.20000000E-09,1.04980949E+06,3.21883332E-05,7.84433734E-05
5.00000000E-01,1.00000000E-01,4.18684868E-03,1.04980948E+06,2.77495217E-05,8.68659055E-05,-0.00000000E+00,-0.00000000E+00,1.32019129E-41,3.81396647E-41,4.28429079E+05,8.56976165E+05,4.39090231E-05,8.78977763E-05,-4.28200351E+05,-8.56112409E+05,-1.85180621E-05,-1.19411397E-05,-0.00000000E+00,-0.00000000E+00,1.51328037E-07,4.36127577E-07,-0.00000000E+00,-0.00000000E+00,1.51328017E-07,4.36127514E-07,-2.54202575E+02,-9.59825450E+02,-7.43908956E-09,-1.32261327E-08,2.54202861E+01,9.59826535E+01,2.54248800E-09,9.60000000E-09,1.04980948E+06,2.77495217E-05,8.68659055E-05
6.00000000E-01,1.00000000E-01,7.62452540E-04,1.04980948E+06,2.51450476E-05,9.37989686E-05,-0.00000000E+00,-0.00000000E+00,1.70884927E-41,3.94255308E-41,5.14132886E+05,8.57038064E+05,5.26994263E-05,8.79040171E-05,-5.13796186E+05,-8.55958346E+05,-1.94998678E-05,-8.10163971E-06,-0.00000000E+00,-0.00000000E+00,1.95754128E-07,4.50522933E-07,-0.00000000E+00,-0.00000000E+00,1.95754104E-07,4.50522903E-07,-3.74180755E+02,-1.19978180E+03,-8.79607140E-09,-1.11978081E-08,3.74181177E+01,1.19978316E+02,3.74248800E-09,1.20000000E-08,1.04980948E+06,2.51450476E-05,9.37989686E-05
7.00000000E-01,1.00000000E-01,1.32289670E-03,1.04980947E+06,2.36495269E-05,9.98052067E-05,-0.00000000E+00,-0.00000000E+00,2.10728801E-41,4.01638907E-41,5.99842868E+05,8.57099820E+05,6.14904522E-05,8.79102434E-05,-5.99376600E+05,-8.55804142E+05,-2.01674211E-05,-5.52187509E-06,-0.00000000E+00,-0.00000000E+00,2.41272203E-07,4.58741926E-07,-0.00000000E+00,-0.00000000E+00,2.41272178E-07,4.58741957E-07,-5.18154570E+02,-1.43973815E+03,-9.91577913E-09,-9.47326126E-09,5.18155156E+01,1.43973978E+02,5.18248800E-09,1.44000000E-08,1.04980947E+06,2.36495269E-05,9.98052067E-05
8.00000000E-01,1.00000000E-01,1.87703672E-03,1.04980946E+06,2.28158441E-05,1.05223841E-04,-0.00000000E+00,-0.00000000E+00,2.51127027E-41,4.05754918E-41,6.85559016E+05,8.57161482E+05,7.02820998E-05,8.79164602E-05,-6.84941583E+05,-8.55649832E+05,-2.06238392E-05,-3.78941559E-06,-0.00000000E+00,-0.00000000E+00,2.87405596E-07,4.63296242E-07,-0.00000000E+00,-0.00000000E+00,2.87405579E-07,4.63296345E-07,-6.86124020E+02,-1.67969450E+03,-1.08801888E-08,-8.63800698E-09,6.86124796E+01,1.67969640E+02,6.86248800E-09,1.68000000E-08,1.04980946E+06,2.28158441E-05,1.05223841E-04
9.00000000E-01,1.00000000E-01,2.42498050E-03,1.04980945E+06,2.23705835E-05,1.10256973E-04,-0.00000000E+00,-0.00000000E+00,2.91828583E-41,4.07953233E-41,7.71281324E+05,8.57223079E+05,7.90743683E-05,8.79226704E-05,-7.70491129E+05,-8.55495460E+05,-2.09386985E-05,-2.63199047E-06,-0.00000000E+00,-0.00000000E+00,3.33873589E-07,4.65712678E-07,-0.00000000E+00,-0.00000000E+00,3.33873586E-07,4.65712847E-07,-8.78089104E+02,-1.91965084E+03,-1.17994712E-08,-8.74902054E-09,8.78090098E+01,1.91965302E+02,8.78248800E-09,1.92000000E-08,1.04980945E+06,2.23705835E-05,1.10256973E-04
1.00000000E+00,1.00000000E-01,2.96683353E-03,1.04980945E+06,2.21474992E-05,1.15023239E-04,-0.00000000E+00,-0.00000000E+00,3.32687752E-41,4.09054632E-41,8.57009787E+05,8.57284632E+05,8.78672575E-05,8.79288763E-05,-8.56025235E+05,-8.55341053E+05,-2.11599062E-05,-1.87868350E-06,-0.00000000E+00,-0.00000000E+00,3.80514211E-07,4.66913760E-07,-0.00000000E+00,-0.00000000E+00,3.80514228E-07,4.66913979E-07,-1.09404982E+03,-2.15960718E+03,-1.27593472E-08,-9.45317574E-09,1.09405106E+02,2.15960963E+02,1.09424880E-08,2.16000000E-08,1.04980945E+06,2.21474992E-05,1.15023239E-04
