Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Vaq Total Mas [mol],Region Region__all Vim Total Mas [mol]
1.00000000E-01,3.70000000E-02,1.79028180E-04,1.04982466E+06,7.72669729E-05,6.72664425E-05,-0.00000000E+00,-0.00000000E+00,1.04797670E-42,1.36921917E-41,1.35843608E+06,1.35873383E+07,1.36346032E-04,1.36381146E-03,-1.35843033E+06,-1.35872200E+07,-9.38404572E-05,-7.17911229E-04,-0.00000000E+00,-0.00000000E+00,1.88503760E-07,2.45439176E-06,-0.00000000E+00,-0.00000000E+00,1.88503762E-07,2.45439181E-06,-8.71769410E+00,-1.51173843E+02,-5.90849971E-10,-9.81065750E-09,8.71785040E-01,1.51176555E+01,8.71920000E-11,1.51200000E-09,1.04982466E+06,7.72669729E-05,6.72664425E-05
2.00000000E-01,3.60000000E-02,2.42276796E-04,1.04982292E+06,7.72723558E-05,1.27079534E-04,-0.00000000E+00,-0.00000000E+00,2.41707708E-42,1.36895340E-41,2.71775529E+06,1.35949545E+07,2.72785977E-04,1.36457645E-03,-2.71772472E+06,-1.35946177E+07,-1.65616491E-04,-7.17892724E-04,-0.00000000E+00,-0.00000000E+00,4.34023787E-07,2.45524675E-06,-0.00000000E+00,-0.00000000E+00,4.34023798E-07,2.45524688E-06,-3.82421455E+01,-3.93531251E+02,-2.50709239E-09,-2.55430107E-08,3.82428316E+00,3.93538314E+01,3.82488000E-10,3.93600000E-09,1.04982292E+06,7.72723558E-05,1.27079534E-04
3.00000000E-01,1.00000000E-01,2.56160560E-04,1.04982117E+06,7.72810904E-05,1.85116828E-04,-0.00000000E+00,-0.00000000E+00,3.78570170E-42,1.36852217E-41,4.07800554E+06,1.36025025E+07,4.09319439E-04,1.36533460E-03,-4.07793351E+06,-1.36020879E+07,-2.37457813E-04,-7.18482489E-04,-0.00000000E+00,-0.00000000E+00,6.79622576E-07,2.45581227E-06,-0.00000000E+00,-0.00000000E+00,6.79622603E-07,2.45581242E-06,-8.62336812E+01,-4.79915357E+02,-5.62251048E-09,-3.11555225E-08,8.62352286E+00,4.79923969E+01,8.62488000E-10,4.80000000E-09,1.04982117E+06,7.72810904E-05,1.85116828E-04
4.00000000E-01,1.00000000E-01,9.15780205E-05,1.04981943E+06,7.72890899E-05,2.41427576E-04,-0.00000000E+00,-0.00000000E+00,5.15392632E-42,1.36812722E-41,5.43901310E+06,1.36100756E+07,5.45928969E-04,1.36609528E-03,-5.43887801E+06,-1.36094450E+07,-3.09355011E-04,-7.19034785E-04,-0.00000000E+00,-0.00000000E+00,9.25281638E-07,2.45642552E-06,-0.00000000E+00,-0.00000000E+00,9.25281689E-07,2.45642576E-06,-1.58220864E+02,-7.19871827E+02,-1.02964057E-08,-4.67409544E-08,1.58223703E+01,7.19884745E+01,1.58248800E-09,7.20000000E-09,1.04981943E+06,7.72890899E-05,2.41427576E-04
5.00000000E-01,1.00000000E-01,1.83978342E-04,1.04981768E+06,7.72970698E-05,2.96063594E-04,-0.00000000E+00,-0.00000000E+00,6.52175667E-42,1.36773324E-41,6.80077671E+06,1.36176361E+07,6.82614442E-04,1.36685470E-03,-6.80055698E+06,-1.36167896E+07,-3.81307364E-04,-7.19586195E-04,-0.00000000E+00,-0.00000000E+00,1.17100096E-06,2.45703034E-06,-0.00000000E+00,-0.00000000E+00,1.17100105E-06,2.45703067E-06,-2.54203612E+02,-9.59827485E+02,-1.65292860E-08,-6.23314692E-08,2.54208174E+01,9.59844708E+01,2.54248800E-09,9.60000000E-09,1.04981768E+06,7.72970698E-05,2.96063594E-04
6.00000000E-01,1.00000000E-01,2.76232690E-04,1.04981592E+06,7.73050311E-05,3.49075220E-04,-0.00000000E+00,-0.00000000E+00,7.88919368E-42,1.36734018E-41,8.16329514E+06,1.36251843E+07,8.19375733E-04,1.36761290E-03,-8.16296917E+06,-1.36241219E+07,-4.53314785E-04,-7.20136740E-04,-0.00000000E+00,-0.00000000E+00,1.41677973E-06,2.45762691E-06,-0.00000000E+00,-0.00000000E+00,1.41677985E-06,2.45762731E-06,-3.74181845E+02,-1.19978233E+03,-2.43216609E-08,-7.79270802E-08,3.74188560E+01,1.19980386E+02,3.74248800E-09,1.20000000E-08,1.04981592E+06,7.73050311E-05,3.49075220E-04
7.00000000E-01,1.00000000E-01,1.12220132E-04,1.04981417E+06,7.73129735E-05,4.00511282E-04,-0.00000000E+00,-0.00000000E+00,9.25623829E-42,1.36694805E-41,9.52656718E+06,1.36327204E+07,9.56212723E-04,1.36836988E-03,-9.52611338E+06,-1.36314421E+07,-5.25377190E-04,-7.20686431E-04,-0.00000000E+00,-0.00000000E+00,1.66261713E-06,2.45821538E-06,-0.00000000E+00,-0.00000000E+00,1.66261730E-06,2.45821587E-06,-5.18155480E+02,-1.43973635E+03,-3.36740399E-08,-9.35277832E-08,5.18164778E+01,1.43976218E+02,5.18248800E-09,1.44000000E-08,1.04981417E+06,7.73129735E-05,4.00511282E-04
8.00000000E-01,1.00000000E-01,2.04421686E-04,1.04981241E+06,7.73208976E-05,4.50419132E-04,-0.00000000E+00,-0.00000000E+00,1.06228914E-41,1.36655683E-41,1.08905916E+07,1.36402445E+07,1.09312529E-03,1.36912568E-03,-1.08899884E+07,-1.36387503E+07,-5.97494493E-04,-7.21235284E-04,-0.00000000E+00,-0.00000000E+00,1.90851239E-06,2.45879596E-06,-0.00000000E+00,-0.00000000E+00,1.90851262E-06,2.45879652E-06,-6.86124434E+02,-1.67968954E+03,-4.45869320E-08,-1.09133577E-07,6.86136746E+01,1.67971969E+02,6.86248800E-09,1.68000000E-08,1.04981241E+06,7.73208976E-05,4.50419132E-04
9.00000000E-01,1.00000000E-01,4.08294530E-05,1.04981065E+06,7.73288033E-05,4.98844704E-04,-0.00000000E+00,-0.00000000E+00,1.19891539E-41,1.36616651E-41,1.22553673E+07,1.36477569E+07,1.23011332E-03,1.36988030E-03,-1.22545931E+07,-1.36460467E+07,-6.69666613E-04,-7.21783314E-04,-0.00000000E+00,-0.00000000E+00,2.15446473E-06,2.45936879E-06,-0.00000000E+00,-0.00000000E+00,2.15446502E-06,2.45936943E-06,-8.78088625E+02,-1.91964191E+03,-5.70608461E-08,-1.24744456E-07,8.78104382E+01,1.91967636E+02,8.78248800E-09,1.92000000E-08,1.04981065E+06,7.73288033E-05,4.98844704E-04
1.00000000E+00,1.00000000E-01,1.32978296E-04,1.04980889E+06,7.73366909E-05,5.45832548E-04,-0.00000000E+00,-0.00000000E+00,1.33550268E-41,1.36577709E-41,1.36208931E+07,1.36552577E+07,1.36717670E-03,1.37063377E-03,-1.36199262E+07,-1.36533316E+07,-7.41893468E-04,-7.22330535E-04,-0.00000000E+00,-0.00000000E+00,2.40047339E-06,2.45993404E-06,-0.00000000E+00,-0.00000000E+00,2.40047376E-06,2.45993477E-06,-1.09404797E+03,-2.15959344E+03,-7.10962908E-08,-1.40360421E-07,1.09406760E+02,2.15963220E+02,1.09424880E-08,2.16000000E-08,1.04980889E+06,7.73366909E-05,5.45832548E-04
