Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Vaq Total Mas [mol],Region Region__all Vim Total Mas [mol]
1.00000000E-01,3.70000000E-02,5.00000000E-03,1.04980842E+06,8.81813062E-05,1.40075962E-05,-0.00000000E+00,-0.00000000E+00,5.00323855E-43,8.30362941E-42,3.41283710E+03,3.41442807E+04,3.56538538E-07,3.65614644E-06,-3.40499125E+03,-3.40082250E+04,-3.07650772E-07,-2.85535744E-06,-0.00000000E+00,-0.00000000E+00,2.29676461E-10,3.81172184E-09,-0.00000000E+00,-0.00000000E+00,2.29676455E-10,3.81172168E-09,-8.71760903E+00,-1.51172411E+02,-7.60923106E-10,-1.26882062E-08,8.71760942E-01,1.51172418E+01,8.71920000E-11,1.51200000E-09,1.04980842E+06,8.81813062E-05,1.40075962E-05
2.00000000E-01,3.60000000E-02,4.00000000E-03,1.04980842E+06,7.42161075E-05,2.50275652E-05,-0.00000000E+00,-0.00000000E+00,1.77347814E-42,1.51984475E-41,6.83084663E+03,3.42045283E+04,7.31861953E-07,3.80248764E-06,-6.79642913E+03,-3.38503558E+04,-5.63279102E-07,-2.38911251E-06,-0.00000000E+00,-0.00000000E+00,8.14066861E-10,6.97599650E-09,-0.00000000E+00,-0.00000000E+00,8.14066781E-10,6.97599524E-09,-3.82418208E+01,-3.93528181E+02,-2.95944246E-09,-2.77257195E-08,3.82418225E+00,3.93528198E+01,3.82488000E-10,3.93600000E-09,1.04980842E+06,7.42161075E-05,2.50275652E-05
3.00000000E-01,1.00000000E-01,4.00000000E-03,1.04980842E+06,6.25263256E-05,3.39115935E-05,-0.00000000E+00,-0.00000000E+00,3.66395722E-42,2.09698598E-41,1.02534472E+04,3.42260058E+04,1.11800965E-06,3.88994915E-06,-1.01758375E+04,-3.37940839E+04,-7.77411602E-07,-2.00529120E-06,-0.00000000E+00,-0.00000000E+00,1.68173013E-09,9.62412077E-09,-0.00000000E+00,-0.00000000E+00,1.68172980E-09,9.62411771E-09,-8.62330624E+01,-4.79912415E+02,-5.99055767E-09,-2.83600621E-08,8.62330662E+00,4.79912437E+01,8.62488000E-10,4.80000000E-09,1.04980842E+06,6.25263256E-05,3.39115935E-05
4.00000000E-01,1.00000000E-01,4.00000000E-03,1.04980842E+06,5.27395657E-05,4.10177379E-05,-0.00000000E+00,-0.00000000E+00,6.07123501E-42,2.58017230E-41,1.36820131E+04,3.42856587E+04,1.51118689E-06,3.94952374E-06,-1.35396151E+04,-3.36377755E+04,-9.56631150E-07,-1.67846961E-06,-0.00000000E+00,-0.00000000E+00,2.78647756E-09,1.18405615E-08,-0.00000000E+00,-0.00000000E+00,2.78647665E-09,1.18405547E-08,-1.58219925E+02,-7.19868623E+02,-9.80181630E-09,-3.56482540E-08,1.58219932E+01,7.19868655E+01,1.58248800E-09,7.20000000E-09,1.04980842E+06,5.27395657E-05,4.10177379E-05
5.00000000E-01,1.00000000E-01,4.00000000E-03,1.04980842E+06,4.45451215E-05,4.66452890E-05,-0.00000000E+00,-0.00000000E+00,8.91121113E-42,2.98474372E-41,1.71165440E+04,3.43453093E+04,1.90903578E-06,3.98975624E-06,-1.68877625E+04,-3.34814739E+04,-1.10665686E-06,-1.40516566E-06,-0.00000000E+00,-0.00000000E+00,4.08967518E-09,1.36958864E-08,-0.00000000E+00,-0.00000000E+00,4.08967319E-09,1.36958743E-08,-2.54202408E+02,-9.59824830E+02,-1.40577827E-08,-3.97967606E-08,2.54202419E+01,9.59824874E+01,2.54248800E-09,9.60000000E-09,1.04980842E+06,4.45451215E-05,4.66452890E-05
6.00000000E-01,1.00000000E-01,4.00000000E-03,1.04980842E+06,3.76834665E-05,5.10444526E-05,-0.00000000E+00,-0.00000000E+00,1.21135009E-41,3.32351343E-41,2.05570402E+04,3.44049622E+04,2.31011981E-06,4.01810479E-06,-2.02202788E+04,-3.33251631E+04,-1.23226696E-06,-1.17657802E-06,-0.00000000E+00,-0.00000000E+00,5.55899524E-09,1.52490044E-08,-0.00000000E+00,-0.00000000E+00,5.55899154E-09,1.52489855E-08,-3.74180511E+02,-1.19978104E+03,-1.85093709E-08,-4.16140221E-08,3.74180528E+01,1.19978109E+02,3.74248800E-09,1.20000000E-08,1.04980842E+06,3.76834665E-05,5.10444526E-05
7.00000000E-01,1.00000000E-01,4.00000000E-03,1.04980842E+06,3.19376277E-05,5.44244074E-05,-0.00000000E+00,-0.00000000E+00,1.56191829E-41,3.60719370E-41,2.40035021E+04,3.44646190E+04,2.71354575E-06,4.03900324E-06,-2.35371641E+04,-3.31688537E+04,-1.33745435E-06,-9.85359682E-07,-0.00000000E+00,-0.00000000E+00,7.16737979E-09,1.65491580E-08,-0.00000000E+00,-0.00000000E+00,7.16737360E-09,1.65491312E-08,-5.18154236E+02,-1.43973724E+03,-2.29747087E-08,-4.17278560E-08,5.18154259E+01,1.43973731E+02,5.18248800E-09,1.44000000E-08,1.04980842E+06,3.19376277E-05,5.44244074E-05
8.00000000E-01,1.00000000E-01,4.00000000E-03,1.04980842E+06,2.71260935E-05,5.69600191E-05,-0.00000000E+00,-0.00000000E+00,1.93789229E-41,3.84474601E-41,2.74559294E+04,3.45242726E+04,3.11874711E-06,4.05513974E-06,-2.68384187E+04,-3.30125460E+04,-1.42555613E-06,-8.25375401E-07,-0.00000000E+00,-0.00000000E+00,8.89217768E-09,1.76375346E-08,-0.00000000E+00,-0.00000000E+00,8.89216812E-09,1.76374990E-08,-6.86123581E+02,-1.67969345E+03,-2.73302190E-08,-4.07051127E-08,6.86123612E+01,1.67969353E+02,6.86248800E-09,1.68000000E-08,1.04980842E+06,2.71260935E-05,5.69600191E-05
9.00000000E-01,1.00000000E-01,4.00000000E-03,1.04980842E+06,2.30969468E-05,5.87974421E-05,-0.00000000E+00,-0.00000000E+00,2.33514098E-41,4.04367074E-41,3.09143214E+04,3.45839200E+04,3.52535791E-06,4.06817763E-06,-3.01240430E+04,-3.28562429E+04,-1.49936179E-06,-6.91501407E-07,-0.00000000E+00,-0.00000000E+00,1.07144246E-08,1.85485980E-08,-0.00000000E+00,-0.00000000E+00,1.07144107E-08,1.85485527E-08,-8.78088547E+02,-1.91964966E+03,-3.15099712E-08,-3.91101349E-08,8.78088587E+01,1.91964975E+02,8.78248800E-09,1.92000000E-08,1.04980842E+06,2.30969468E-05,5.87974421E-05
1.00000000E+00,1.00000000E-01,4.00000000E-03,1.04980842E+06,1.97230188E-05,6.00588174E-05,-0.00000000E+00,-0.00000000E+00,2.75020480E-41,4.21024639E-41,3.43786792E+04,3.46435784E+04,3.93313788E-06,4.07916834E-06,-3.33940362E+04,-3.26999319E+04,-1.56120338E-06,-5.79457669E-07,-0.00000000E+00,-0.00000000E+00,1.26182417E-08,1.93111932E-08,-0.00000000E+00,-0.00000000E+00,1.26182225E-08,1.93111377E-08,-1.09404913E+03,-2.15960587E+03,-3.54642111E-08,-3.70017219E-08,1.09404918E+02,2.15960597E+02,1.09424880E-08,2.16000000E-08,1.04980842E+06,1.97230188E-05,6.00588174E-05
