Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Vaq Total Mas [mol],Region Region__all Vim Total Mas [mol]
1.00000000E-01,3.70000000E-02,1.17788761E-03,1.92465023E+06,1.64201379E-04,2.42405437E-05,-0.00000000E+00,-0.00000000E+00,7.44010807E-43,1.39714336E-41,1.36460865E+05,1.36461574E+06,1.37339240E-05,1.37437767E-04,-1.36453035E+05,-1.36447984E+06,-1.25503424E-05,-1.15621058E-04,-0.00000000E+00,-0.00000000E+00,1.36265909E-08,2.55542660E-07,-0.00000000E+00,-0.00000000E+00,1.36265908E-08,2.55542657E-07,-8.71761126E+00,-1.51172449E+02,-7.79325009E-10,-1.28076455E-08,8.71762152E-01,1.51172627E+01,8.71920000E-11,1.51200000E-09,1.92465023E+06,1.64201379E-04,2.42405437E-05
2.00000000E-01,3.60000000E-02,3.06073652E-04,1.92465022E+06,1.42040056E-04,4.38725337E-05,-0.00000000E+00,-0.00000000E+00,2.72465653E-42,2.49127952E-41,2.72923999E+05,1.36464096E+06,2.74780148E-05,1.37442232E-04,-2.72889613E+05,-1.36428695E+06,-2.31829930E-05,-9.79773755E-05,-0.00000000E+00,-0.00000000E+00,4.97758140E-08,4.53944564E-07,-0.00000000E+00,-0.00000000E+00,4.97758127E-08,4.53944543E-07,-3.82418304E+01,-3.93528278E+02,-3.05657787E-09,-2.82418557E-08,3.82418755E+00,3.93528743E+01,3.82488000E-10,3.93600000E-09,1.92465022E+06,1.42040056E-04,4.38725337E-05
3.00000000E-01,1.00000000E-01,7.09792609E-04,1.92465021E+06,1.24785307E-04,6.03023681E-05,-0.00000000E+00,-0.00000000E+00,5.67066026E-42,3.34317113E-41,4.09389183E+05,1.36465183E+06,4.12223484E-05,1.37443339E-04,-4.09311618E+05,-1.36422005E+06,-3.21953376E-05,-8.30679634E-05,-0.00000000E+00,-0.00000000E+00,1.03356365E-07,6.07100279E-07,-0.00000000E+00,-0.00000000E+00,1.03356360E-07,6.07100240E-07,-8.62330834E+01,-4.79912530E+02,-6.22340472E-09,-2.91742489E-08,8.62331854E+00,4.79913099E+01,8.62488000E-10,4.80000000E-09,1.92465021E+06,1.24785307E-04,6.03023681E-05
4.00000000E-01,1.00000000E-01,1.06201225E-03,1.92465019E+06,1.11450306E-04,7.42117424E-05,-0.00000000E+00,-0.00000000E+00,9.36566107E-42,4.00153919E-41,5.45856811E+05,1.36467628E+06,5.49669275E-05,1.37445789E-04,-5.45714473E+05,-1.36402855E+06,-3.98374169E-05,-7.04547619E-05,-0.00000000E+00,-0.00000000E+00,1.70346133E-07,7.24456126E-07,-0.00000000E+00,-0.00000000E+00,1.70346123E-07,7.24456064E-07,-1.58219962E+02,-7.19868789E+02,-1.02472236E-08,-3.70688051E-08,1.58220150E+01,7.19869645E+01,1.58248800E-09,7.20000000E-09,1.92465019E+06,1.11450306E-04,7.42117424E-05
5.00000000E-01,1.00000000E-01,1.41756418E-03,1.92465018E+06,1.01235987E-04,8.61434024E-05,-0.00000000E+00,-0.00000000E+00,1.36370811E-41,4.50583468E-41,6.82326864E+05,1.36470053E+06,6.87117495E-05,1.37448219E-04,-6.82098154E+05,-1.36383681E+06,-4.63209224E-05,-5.97902921E-05,-0.00000000E+00,-0.00000000E+00,2.47567875E-07,8.13586149E-07,-0.00000000E+00,-0.00000000E+00,2.47567857E-07,8.13586067E-07,-2.54202467E+02,-9.59825045E+02,-1.47918429E-08,-4.18662215E-08,2.54202769E+01,9.59826189E+01,2.54248800E-09,9.60000000E-09,1.92465018E+06,1.01235987E-04,8.61434024E-05
6.00000000E-01,1.00000000E-01,1.77055605E-03,1.92465017E+06,9.34966287E-05,9.65279047E-05,-0.00000000E+00,-0.00000000E+00,1.83477743E-41,4.88793788E-41,8.18799320E+05,1.36472456E+06,8.24568123E-05,1.37450627E-04,-8.18462643E+05,-1.36364488E+06,-5.18248284E-05,-5.07733736E-05,-0.00000000E+00,-0.00000000E+00,3.32521177E-07,8.80549195E-07,-0.00000000E+00,-0.00000000E+00,3.32521150E-07,8.80549097E-07,-3.74180597E+02,-1.19978130E+03,-1.96038455E-08,-4.43291341E-08,3.74181042E+01,1.19978273E+02,3.74248800E-09,1.20000000E-08,1.92465017E+06,9.34966287E-05,9.65279047E-05
7.00000000E-01,1.00000000E-01,2.12101757E-03,1.92465016E+06,8.77115322E-05,1.05705465E-04,-0.00000000E+00,-0.00000000E+00,2.33891978E-41,5.17355635E-41,9.55274163E+05,1.36474844E+06,9.62021144E-05,1.37453020E-04,-9.54807921E+05,-1.36345278E+06,-5.65004527E-05,-4.31493675E-05,-0.00000000E+00,-0.00000000E+00,4.23246530E-07,9.30181680E-07,-0.00000000E+00,-0.00000000E+00,4.23246492E-07,9.30181570E-07,-5.18154351E+02,-1.43973755E+03,-2.44951381E-08,-4.50594033E-08,5.18154969E+01,1.43973927E+02,5.18248800E-09,1.44000000E-08,1.92465016E+06,8.77115322E-05,1.05705465E-04
8.00000000E-01,1.00000000E-01,2.46897848E-03,1.92465015E+06,8.34618060E-05,1.13943729E-04,-0.00000000E+00,-0.00000000E+00,2.86758491E-41,5.38337140E-41,1.09175138E+06,1.36477219E+06,1.09947655E-04,1.37455400E-04,-1.09113398E+06,-1.36326057E+06,-6.04757319E-05,-3.67030289E-05,-0.00000000E+00,-0.00000000E+00,5.18215706E-07,9.66334844E-07,-0.00000000E+00,-0.00000000E+00,5.18215656E-07,9.66334731E-07,-6.86123731E+02,-1.67969380E+03,-2.93289626E-08,-4.45316251E-08,6.86124550E+01,1.67969581E+02,6.86248800E-09,1.68000000E-08,1.92465015E+06,8.34618060E-05,1.13943729E-04
9.00000000E-01,1.00000000E-01,3.22757213E-04,1.92465015E+06,8.04112566E-05,1.21452245E-04,-0.00000000E+00,-0.00000000E+00,3.41407282E-41,5.53398139E-41,1.22823097E+06,1.36479583E+06,1.23693432E-04,1.37457770E-04,-1.22744080E+06,-1.36306825E+06,-6.38588775E-05,-3.12523476E-05,-0.00000000E+00,-0.00000000E+00,6.16243303E-07,9.92067851E-07,-0.00000000E+00,-0.00000000E+00,6.16243242E-07,9.92067756E-07,-8.78088736E+02,-1.91965004E+03,-3.40102602E-08,-4.31586100E-08,8.78089785E+01,1.91965235E+02,8.78248800E-09,1.92000000E-08,1.92465015E+06,8.04112566E-05,1.21452245E-04
1.00000000E+00,1.00000000E-01,6.74597498E-04,1.92465014E+06,7.82909669E-05,1.28394047E-04,-0.00000000E+00,-0.00000000E+00,3.97316896E-41,5.63866312E-41,1.36471291E+06,1.36481942E+06,1.37439445E-04,1.37460134E-04,-1.36372839E+06,-1.36287588E+06,-6.67413626E-05,-2.66444671E-05,-0.00000000E+00,-0.00000000E+00,7.16416282E-07,1.00980246E-06,-0.00000000E+00,-0.00000000E+00,7.16416214E-07,1.00980242E-06,-1.09404936E+03,-2.15960629E+03,-3.84903098E-08,-4.15273162E-08,1.09405067E+02,2.15960888E+02,1.09424880E-08,2.16000000E-08,1.92465014E+06,7.82909669E-05,1.28394047E-04
