Time [d],dt_flow [d],dt_tran [d],Global Water Mass [kg],Global Vaq [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.10000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,9.99976474E+04,-0.00000000E+00,-0.00000000E+00,-2.15344339E+00,-3.88349473E-01,4.45483843E+05,4.30971009E+04,4.45554652E-05,4.31039520E-06,4.84678525E+05,4.68888785E+04,4.84755577E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-7.23918446E-18,-1.56179475E-18,-0.00000000E+00,-0.00000000E+00,1.35527774E-17,3.54500407E-19,-1.03351028E+06,-9.99840745E+04,-2.13492656E-01,-9.06127322E-02,1.03347799E+05,9.99809506E+03,1.00000000E+05,1.00000000E+04,7.76991745E+06,9.99976474E+04
1.20000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,1.09997083E+05,-0.00000000E+00,-0.00000000E+00,-2.57822093E+00,-4.24777537E-01,4.88580944E+05,4.30971009E+04,4.88658604E-05,4.31039520E-06,5.31567403E+05,4.68888785E+04,5.31651911E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-9.51931763E-18,-2.28013317E-18,-0.00000000E+00,-0.00000000E+00,1.31864896E-17,-3.66287778E-19,-1.13349436E+06,-9.99840745E+04,-3.52851359E-01,-1.39358703E-01,1.13345894E+05,9.99809506E+03,1.10000000E+05,1.00000000E+04,7.76991745E+06,1.09997083E+05
1.30000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,1.19996416E+05,-0.00000000E+00,-0.00000000E+00,-3.03906890E+00,-4.60847970E-01,5.31678045E+05,4.30971009E+04,5.31762556E-05,4.31039520E-06,5.78456282E+05,4.68888785E+04,5.78548244E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-1.27933656E-17,-3.27404792E-18,-0.00000000E+00,-0.00000000E+00,1.18238393E-17,-1.36265032E-18,-1.23347843E+06,-9.99840745E+04,-5.59324427E-01,-2.06473068E-01,1.23343989E+05,9.99809506E+03,1.20000000E+05,1.00000000E+04,7.76991745E+06,1.19996416E+05
1.40000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,1.29995623E+05,-0.00000000E+00,-0.00000000E+00,-3.53564499E+00,-4.96576091E-01,5.74775146E+05,4.30971009E+04,5.74866508E-05,4.31039520E-06,6.25345160E+05,4.68888785E+04,6.25444578E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-1.74011699E-17,-4.60780439E-18,-0.00000000E+00,-0.00000000E+00,9.12498662E-18,-2.69885264E-18,-1.33346251E+06,-9.99840745E+04,-8.55702326E-01,-2.96377899E-01,1.33342084E+05,9.99809506E+03,1.30000000E+05,1.00000000E+04,7.76991745E+06,1.29995623E+05
1.50000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,1.39994677E+05,-0.00000000E+00,-0.00000000E+00,-4.06762137E+00,-5.31976383E-01,6.17872247E+05,4.30971009E+04,6.17970460E-05,4.31039520E-06,6.72234039E+05,4.68888785E+04,6.72340911E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-2.37552018E-17,-6.35403189E-18,-0.00000000E+00,-0.00000000E+00,4.67746260E-18,-4.44752402E-18,-1.43344658E+06,-9.99840745E+04,-1.26971665E+00,-4.14014325E-01,1.43340179E+05,9.99809506E+03,1.40000000E+05,1.00000000E+04,7.76991745E+06,1.39994677E+05
1.60000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,1.49993545E+05,-0.00000000E+00,-0.00000000E+00,-4.63468392E+00,-5.67062548E-01,6.60969348E+05,4.30971009E+04,6.61074412E-05,4.31039520E-06,7.19122917E+05,4.68888785E+04,7.19237245E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-3.23492311E-17,-8.59402928E-18,-0.00000000E+00,-0.00000000E+00,-2.01250077E-18,-6.68996337E-18,-1.53343065E+06,-9.99840745E+04,-1.83454763E+00,-5.64830981E-01,1.53338274E+05,9.99809506E+03,1.50000000E+05,1.00000000E+04,7.76991745E+06,1.49993545E+05
1.70000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,1.59992189E+05,-0.00000000E+00,-0.00000000E+00,-5.23653146E+00,-6.01847539E-01,7.04066449E+05,4.30971009E+04,7.04178364E-05,4.31039520E-06,7.66011796E+05,4.68888785E+04,7.66133578E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-4.37672740E-17,-1.14180429E-17,-0.00000000E+00,-0.00000000E+00,-1.15289178E-17,-9.51641700E-18,-1.63341473E+06,-9.99840745E+04,-2.58931525E+00,-7.54767618E-01,1.63336369E+05,9.99809506E+03,1.60000000E+05,1.00000000E+04,7.76991745E+06,1.59992189E+05
1.80000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,1.69990562E+05,-0.00000000E+00,-0.00000000E+00,-5.87287506E+00,-6.36343603E-01,7.47163550E+05,4.30971009E+04,7.47282316E-05,4.31039520E-06,8.12900674E+05,4.68888785E+04,8.13029912E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-5.86927926E-17,-1.49255186E-17,-0.00000000E+00,-0.00000000E+00,-2.45552484E-17,-1.30263306E-17,-1.73339880E+06,-9.99840745E+04,-3.57954742E+00,-9.90232171E-01,1.73334465E+05,9.99809506E+03,1.70000000E+05,1.00000000E+04,7.76991745E+06,1.69990562E+05
1.90000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,1.79988614E+05,-0.00000000E+00,-0.00000000E+00,-6.54343738E+00,-6.70562314E-01,7.90260650E+05,4.30971009E+04,7.90386268E-05,4.31039520E-06,8.59789553E+05,4.68888785E+04,8.59926245E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-7.79181209E-17,-1.92253282E-17,-0.00000000E+00,-0.00000000E+00,-4.18838247E-17,-1.73285763E-17,-1.83338288E+06,-9.99840745E+04,-4.85762461E+00,-1.27807719E+00,1.83332560E+05,9.99809506E+03,1.80000000E+05,1.00000000E+04,7.76991745E+06,1.79988614E+05
2.00000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,1.89986284E+05,-0.00000000E+00,-0.00000000E+00,-7.24795199E+00,-7.04514612E-01,8.33357751E+05,4.30971009E+04,8.33490220E-05,4.31039520E-06,9.06678431E+05,4.68888785E+04,9.06822579E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-1.02354095E-16,-2.44359741E-17,-0.00000000E+00,-0.00000000E+00,-6.44254809E-17,-2.25416562E-17,-1.93336695E+06,-9.99840745E+04,-6.48319541E+00,-1.62557080E+00,1.93330655E+05,9.99809506E+03,1.90000000E+05,1.00000000E+04,7.76991745E+06,1.89986284E+05
