"Time [h]","dt_tran [h]","Global Vaq [mol]","Global Vim [mol]","Bottom Vaq [mol]","Bottom Vaq [mol/h]","Top Vaq [mol]","Top Vaq [mol/h]"
4.11111111E+00,2.77777778E-02,5.28837951E-01,5.05060918E-01,1.32546286E+00,3.19434375E-01,-1.47707067E-01,-1.02063128E-01
4.22222222E+00,2.77777778E-02,5.29601318E-01,5.22107849E-01,1.36095473E+00,3.19422308E-01,-1.59091201E-01,-1.02680061E-01
4.33333333E+00,2.77777778E-02,5.30333702E-01,5.39048662E-01,1.39644527E+00,3.19410337E-01,-1.70537235E-01,-1.03205358E-01
4.44444444E+00,2.77777778E-02,5.31044050E-01,5.55883201E-01,1.43193448E+00,3.19398460E-01,-1.82037012E-01,-1.03667032E-01
4.55555556E+00,2.77777778E-02,5.31738439E-01,5.72611594E-01,1.46742238E+00,3.19386677E-01,-1.93584909E-01,-1.04085027E-01
4.66666667E+00,2.77777778E-02,5.32420935E-01,5.89234157E-01,1.50290897E+00,3.19374987E-01,-2.05177084E-01,-1.04473255E-01
4.77777778E+00,2.77777778E-02,5.33094226E-01,6.05751330E-01,1.53839428E+00,3.19363390E-01,-2.16810921E-01,-1.04841241E-01
4.88888889E+00,2.77777778E-02,5.33760071E-01,6.22163631E-01,1.57387830E+00,3.19351883E-01,-2.28484641E-01,-1.05195397E-01
5.00000000E+00,2.77777778E-02,5.34419607E-01,6.38471629E-01,1.60936105E+00,3.19340468E-01,-2.40197017E-01,-1.05539977E-01
5.11111111E+00,2.77777778E-02,5.35073570E-01,6.54675922E-01,1.64484253E+00,3.19329143E-01,-2.51947188E-01,-1.05877766E-01
5.22222222E+00,2.77777778E-02,5.35722431E-01,6.70777126E-01,1.68032277E+00,3.19317908E-01,-2.63734533E-01,-1.06210561E-01
5.33333333E+00,2.77777778E-02,5.36366496E-01,6.86775867E-01,1.71580176E+00,3.19306761E-01,-2.75558580E-01,-1.06539512E-01
5.44444444E+00,2.77777778E-02,5.37005962E-01,7.02672775E-01,1.75127952E+00,3.19295702E-01,-2.87418956E-01,-1.06865350E-01
5.55555556E+00,2.77777778E-02,5.37640964E-01,7.18468481E-01,1.78675606E+00,3.19284731E-01,-2.99315348E-01,-1.07188533E-01
5.66666667E+00,1.38888889E-02,4.94397238E-01,7.33013012E-01,1.77697114E+00,-2.38889384E-02,-3.11246929E-01,-1.07509382E-01
5.77777778E+00,2.77777778E-02,4.61528449E-01,7.46027651E-01,1.77583859E+00,-5.92487290E-03,-3.23214561E-01,-1.07828009E-01
5.88888889E+00,2.77777778E-02,4.30944917E-01,7.57691232E-01,1.77547339E+00,-2.29044342E-03,-3.35217452E-01,-1.08144563E-01
6.00000000E+00,2.77777778E-02,4.01982516E-01,7.68086049E-01,1.77530269E+00,-1.22985441E-03,-3.47255375E-01,-1.08459117E-01
6.11111111E+00,2.77777778E-02,3.74433570E-01,7.77281014E-01,1.77519442E+00,-8.66313322E-04,-3.59328114E-01,-1.08771720E-01
6.22222222E+00,2.77777778E-02,3.48189498E-01,7.85339080E-01,1.77510882E+00,-7.28418269E-04,-3.71435452E-01,-1.09082403E-01
6.33333333E+00,2.77777778E-02,3.23172236E-01,7.92319234E-01,1.77503226E+00,-6.71317171E-04,-3.83577178E-01,-1.09391178E-01
6.44444444E+00,2.77777778E-02,2.99315873E-01,7.98277217E-01,1.77495965E+00,-6.45090116E-04,-3.95753076E-01,-1.09697948E-01
6.55555556E+00,2.77777778E-02,2.76560805E-01,8.03265872E-01,1.77488900E+00,-6.31216919E-04,-4.07962884E-01,-1.10002034E-01
6.66666667E+00,2.77777778E-02,2.54851758E-01,8.07335359E-01,1.77481950E+00,-6.22465929E-04,-4.20206125E-01,-1.10300315E-01
6.77777778E+00,2.77777778E-02,2.34137467E-01,8.10533336E-01,1.77475081E+00,-6.15905581E-04,-4.32481505E-01,-1.10581971E-01
6.88888889E+00,2.77777778E-02,2.14371749E-01,8.12905165E-01,1.77468277E+00,-6.10313032E-04,-4.44785348E-01,-1.10817294E-01
7.00000000E+00,2.77777778E-02,1.95516344E-01,8.14494192E-01,1.77461531E+00,-6.05166559E-04,-4.57108305E-01,-1.10939958E-01
7.11111111E+00,2.77777778E-02,1.77545796E-01,8.15342196E-01,1.77454842E+00,-6.00239436E-04,-4.69429900E-01,-1.10827247E-01
7.22222222E+00,2.77777778E-02,1.60453816E-01,8.15490068E-01,1.77448206E+00,-5.95431576E-04,-4.81711345E-01,-1.10288737E-01
7.33333333E+00,2.77777778E-02,1.44259246E-01,8.14978732E-01,1.77441623E+00,-5.90698159E-04,-4.93888453E-01,-1.09075838E-01
7.44444444E+00,2.77777778E-02,1.29008895E-01,8.13850233E-01,1.77435092E+00,-5.86018814E-04,-5.05867504E-01,-1.06918626E-01
7.55555556E+00,2.77777778E-02,1.14774693E-01,8.12148789E-01,1.77428613E+00,-5.81384117E-04,-5.17526802E-01,-1.03584317E-01
7.66666667E+00,2.77777778E-02,1.01644210E-01,8.09921555E-01,1.77422185E+00,-5.76789591E-04,-5.28725228E-01,-9.89401448E-02
7.77777778E+00,2.77777778E-02,8.97058207E-02,8.07218872E-01,1.77415808E+00,-5.72233014E-04,-5.39316769E-01,-9.29991874E-02
7.88888889E+00,2.77777778E-02,7.90317537E-02,8.04093842E-01,1.77409481E+00,-5.67713225E-04,-5.49167944E-01,-8.59333832E-02
8.00000000E+00,2.77777778E-02,6.96630268E-02,8.00601281E-01,1.77403204E+00,-5.63229506E-04,-5.58174125E-01,-7.80500207E-02
8.11111111E+00,2.77777778E-02,6.15996053E-02,7.96796211E-01,1.77396977E+00,-5.58781349E-04,-5.66271184E-01,-6.97403479E-02
8.22222222E+00,2.77777778E-02,5.47975384E-02,7.92732111E-01,1.77390799E+00,-5.54368400E-04,-5.73440453E-01,-6.14163132E-02
8.33333333E+00,2.77777778E-02,4.91728236E-02,7.88459268E-01,1.77384670E+00,-5.49990340E-04,-5.79706862E-01,-5.34520388E-02
8.44444444E+00,2.77777778E-02,4.46103532E-02,7.84023415E-01,1.77378589E+00,-5.45646875E-04,-5.85131639E-01,-4.61418537E-02
